"condition","comparison","N","single_mse_mean","single_mse_sd","mean_mse_mean","mean_mse_sd","r_single_mean","t_value","df","p_value_one_tailed","cohen_dz","dz_ci_lower","dz_ci_upper","d33_threshold","dz_greater_than_d33","ci_lower_greater_than_d33"
"Immediate","Guess 1 vs Average",471,589.292688428875,336.141910272962,541.494002123142,313.407237739875,0.934787411070972,8.68782993802105,470,3.08196377150091e-17,0.4003140726427,0.306251817122311,0.493980705601399,0.0955490477429492,TRUE,TRUE
"Immediate","Guess 2 vs Average",471,614.921563163482,350.575004481688,541.494002123142,313.407237739875,0.896558881062196,10.2624600653388,470,9.86118361846729e-23,0.472869199028615,0.377408799596178,0.567875070673748,0.0955490477429492,TRUE,TRUE
"Delayed","Guess 1 vs Average",140,517.427857142857,288.073969477258,467.455848214286,260.288365356064,0.86101192997363,4.0217019625469,139,4.71929421614998e-05,0.339895852489654,0.168927584824374,0.509706382571021,0.116216247670821,TRUE,TRUE
"Delayed","Guess 2 vs Average",140,588.885178571429,326.718344709212,467.455848214286,260.288365356064,0.857141318793842,8.47942246871054,139,1.48815436522913e-14,0.716641997707129,0.529802887245346,0.901408485204206,0.116216247670821,TRUE,TRUE
