"analysis","test_type","BF10","BF01","interpretation"
"Immediate: Guess 1 vs Average","paired t-test",67158767861686.2,1.48900885444996e-14,"Evidence favors H1 / difference"
"Immediate: Guess 2 vs Average","paired t-test",17174510991621287936,5.82258208392575e-20,"Evidence favors H1 / difference"
"Delayed: Guess 1 vs Average","paired t-test",171.271511210032,0.00583868264450408,"Evidence favors H1 / difference"
"Delayed: Guess 2 vs Average","paired t-test",223853891483.049,4.46719953526349e-12,"Evidence favors H1 / difference"
"Immediate: Guess 1 vs Guess 2","paired t-test",0.632732624615621,1.5804464019972,"Evidence favors H0 / no difference"
"Delayed: Guess 1 vs Guess 2","paired t-test",5.24098742171707,0.190803739741161,"Evidence favors H1 / difference"
"Averaging benefit based on Guess 1: Delayed vs Immediate","independent t-test",0.108371662955535,9.22750442992004,"Evidence favors H0 / no difference"
"Averaging benefit based on Guess 2: Delayed vs Immediate","independent t-test",12.3697133739609,0.0808426169441458,"Evidence favors H1 / difference"
