"sex","age","student_number_simple","q1.s1","q2.s1","q3.s1","q4.s1","q5.s1","q6.s1","q7.s1","q8.s1","q1.s2","q2.s2","q3.s2","q4.s2","q5.s2","q6.s2","q7.s2","q8.s2","mse.s1","mse.s2","mse.mean"
"Mannelijk",21,261504,32,45,12,5,69,74,7,16,43,62,17,3,87,78,13,32,271.14375,495.54375,349.875
"Vrouwelijk",21,261897,15,80,50,43,30,90,10,12,50,85,30,60,30,90,15,15,598.14375,975.76875,725.3
"Vrouwelijk",20,262092,25,50,10,7,30,60,15,30,40,60,15,10,40,65,25,50,213.06875,347.26875,249.41875
"Vrouwelijk",21,262106,70,70,15,2,70,80,2,50,25,70,12,3,50,90,7,20,932.61875,402.11875,559.24375
"Vrouwelijk",21,262196,100,65,22,2,15,70,10,20,90,40,10,8,70,50,15,20,1435.29375,996.34375,1079.725
"Mannelijk",21,262213,20,55,20,5,50,95,30,10,30,50,15,6,40,60,30,35,292.76875,168.04375,164.75
"Vrouwelijk",22,262493,50,40,30,5,50,70,10,30,70,50,25,10,50,80,60,30,320.89375,750.26875,437.14375
"Vrouwelijk",23,262871,20,45,5,2,55,80,5,50,45,70,4,2,55,90,3,55,365.31875,749.09375,514.08125
"Vrouwelijk",22,262929,20,38,6,2,20,72,25,8,10,30,8,3,20,65,10,15,333.94375,305.74375,304.46875
"Vrouwelijk",21,263070,1,78,8,21,68,78,1,30,1,45,12,5,66,72,1,40,416.11875,239.76875,281.0375
"Vrouwelijk",21,263081,70,42,45,2,87,78,11,48,78,46,26,1,75,49,14,52,862.11875,857.89375,814.63125
"Vrouwelijk",21,263465,5,50,30,1,20,88,1,60,20,80,11,1,60,88,1,60,561.96875,668.01875,518.55625
"Vrouwelijk",21,264317,30,80,5,5,70,80,2,30,15,80,5,5,70,80,2,10,535.19375,486.44375,491.2875
"Vrouwelijk",20,264324,40,50,20,8,50,89,3,60,15,50,10,8,30,50,30,40,563.11875,193.71875,260.45
"Vrouwelijk",21,264334,50,30,30,5,5,75,5,10,34,53,42,12,21,86,13,12,693.01875,410.16875,507.125
"Vrouwelijk",21,264335,27,65,42,45,10,95,5,10,16,72,86,4,70,72,10,26,765.09375,592.06875,422.425
"Vrouwelijk",21,264696,70,50,20,15,60,60,10,20,10,40,25,12,80,75,10,10,574.89375,200.94375,248.575
"Vrouwelijk",21,264856,30,40,20,15,20,70,20,40,40,60,20,22,70,30,25,60,304.64375,492.44375,239.98125
"Mannelijk",21,265445,2,50,4,1,50,70,2,40,5,70,10,5,60,75,1,40,270.89375,335.79375,285
"Vrouwelijk",28,294884,25,35,15,4,50,60,20,9,28,30,36,12,50,65,52,15,133.34375,186.31875,109.08125
"Vrouwelijk",23,305604,50,50,16,15,35,75,20,15,20,17,20,3,20,65,10,15,384.06875,336.94375,280.06875
"Vrouwelijk",23,305730,22,80,20,20,20,88,10,50,30,80,50,30,30,80,80,20,631.26875,821.01875,506.51875
"Vrouwelijk",24,307743,80,80,30,20,60,90,20,50,35,80,30,20,50,80,50,50,1113.76875,523.26875,720.8625
"Vrouwelijk",23,308151,33,67,45,14,76,87,34,20,40,75,25,14,64,80,30,32,379.79375,380.31875,352.99375
"Vrouwelijk",22,364192,40,65,10,15,50,95,10,30,50,40,10,5,99,95,5,30,507.76875,835.16875,569.875
"Vrouwelijk",22,377531,28,65,13,10,50,85,2,35,30,70,25,3,50,65,5,50,375.61875,346.59375,334.35625
"Vrouwelijk",45,435581,30,65,50,8,25,68,7,20,30,60,60,15,70,70,20,60,343.66875,445.64375,270.53125
"Mannelijk",35,435906,12,60,10,1,55,75,10,65,10,40,1,5,50,65,10,45,432.01875,246.44375,307.16875
