"analysis","N","t_value","df","p_value","cohen_dz","alternative","paired"
"Immediate condition: mse.g1 > mse.mean",471,8.68782993802105,470,3.08196377150091e-17,0.4003140726427,"greater",TRUE
"Immediate condition: mse.g2 > mse.mean",471,10.2624600653388,470,9.86118361846729e-23,0.472869199028615,"greater",TRUE
