"item","value"
"N",140
"Female_Vrouwelijk",125
"Male_Mannelijk",15
"Age_Mean",21.9714285714286
"Age_SD",3.09778955107911
"MSE_Session1_Mean",517.427857142857
"MSE_Session1_SD",288.073969477258
"MSE_Session2_Mean",588.885178571429
"MSE_Session2_SD",326.718344709212
"MSE_MeanEstimate_Mean",467.455848214286
"MSE_MeanEstimate_SD",260.288365356064
